zao,zhong,wan,times,label
3.65,11.42,10.0,11,0
5.15,10.4,10.0,10,0
7.0,10.0,11.8,10,0
14.5,10.7,11.7,9,0
4.0,8.0,0.0,9,1
4.03,7.0,6.5,10,1
3.5,8.2,9.0,9,0
4.08,10.8,9.63,12,0
3.3,9.5,10.75,10,0
5.08,9.25,11.67,11,0
4.2,7.5,7.17,8,0
4.47,11.0,9.25,9,0
3.8,10.88,9.5,9,0
3.0,7.5,9.07,7,0
7.3,7.33,13.17,7,0
6.2,6.33,5.7,10,0
4.67,11.5,6.5,9,0
4.2,8.5,7.25,11,0
4.0,13.75,10.62,8,0
3.75,3.23,6.83,8,1
3.0,7.5,14.33,8,0
0.0,9.5,5.0,7,0
0.0,4.4,7.33,8,1
0.0,12.67,11.12,7,0
23.0,16.9,10.7,10,0
3.3,14.72,16.8,11,0
3.5,11.77,16.8,12,0
0.0,17.88,12.82,10,0
0.0,11.0,10.13,9,0
0.0,12.86,16.3,9,0
3.17,13.53,9.98,12,0
3.23,17.6,9.64,10,0
5.5,14.78,8.57,10,0
0.0,13.97,11.25,9,0
0.0,13.6,10.9,12,0
0.0,14.9,13.08,11,0
6.2,16.46,15.59,15,0
0.0,16.38,14.58,10,0
3.0,0.0,16.0,8,0
0.0,17.0,11.79,8,0
0.0,0.0,13.59,7,0
3.0,0.0,16.57,8,0
0.0,13.0,14.71,8,0
0.0,3.83,14.5,10,0
0.0,14.0,14.44,8,0
6.2,5.0,14.81,10,0
0.0,0.0,14.51,7,0
0.0,0.0,14.64,7,0
3.0,0.0,15.5,8,0
3.0,10.2,15.54,9,0
0.0,6.97,16.14,10,0
0.0,15.05,15.67,11,0
0.0,12.25,12.17,11,0
0.0,0.0,13.47,7,0
0.0,9.0,12.43,8,0
0.0,0.0,15.69,7,0
12.0,0.0,16.27,8,0
0.0,0.0,15.9,7,0
0.0,0.0,15.96,7,0
0.0,0.0,16.06,7,0
0.0,9.85,17.81,9,0
0.0,9.0,17.41,8,0
14.5,14.25,22.2,10,0
15.0,3.0,16.13,8,0
0.0,11.88,16.92,10,0
8.95,14.62,15.95,10,0
11.85,0.0,17.5,9,0
9.23,12.83,16.33,12,0
12.2,14.0,11.12,11,0
